
--- # Threads = 1 ---

27
29
27
28
28
28
27
28
27
28
29
28
27
29
28
27
29
29
28
28

--- # Threads = 2 ---

29
30
29
29
29
31
30
30
29
29
31
28
29
30
28
29
29
30
31
30

--- # Threads = 3 ---

29
29
33
28
28
29
30
29
28
30
29
28
29
28
28
28
30
29
31
29

--- # Threads = 4 ---

28
28
30
29
28
29
30
30
28
31
30
28
28
28
29
30
31
31
31
30

--- # Threads = 5 ---

35
32
37
30
37
37
38
35
38
30
30
38
36
36
36
32
36
38
29
37

--- # Threads = 6 ---

37
41
39
38
39
38
39
38
38
39
37
39
39
40
32
32
42
37
38
39

--- # Threads = 7 ---

32
39
32
32
32
32
33
32
39
33
32
32
32
34
35
32
32
32
32
33

--- # Threads = 8 ---

35
35
36
41
40
42
40
40
39
36
43
42
45
37
40
43
42
39
35
35

--- # Threads = 9 ---

44
44
45
44
45
45
44
41
45
45
44
44
44
41
44
44
45
43
44
42

--- # Threads = 10 ---

44
46
43
46
46
44
39
38
45
48
47
45
50
46
45
45
48
45
48
37

--- # Threads = 11 ---

48
49
50
49
48
48
44
50
50
53
49
51
50
46
51
49
48
49
32
48

--- # Threads = 12 ---

47
53
42
54
53
56
54
46
41
52
51
52
52
54
47
53
52
55
52
56

--- # Threads = 13 ---

53
55
54
53
56
54
50
55
53
54
46
48
57
57
53
51
44
52
49
48

--- # Threads = 14 ---

57
52
44
62
45
52
56
57
58
51
58
60
60
59
47
49
57
40
60
48

--- # Threads = 15 ---

66
59
63
47
55
52
60
52
67
54
64
57
60
66
46
69
61
77
59
53

--- # Threads = 16 ---

57
56
41
55
57
50
70
56
64
80
67
55
38
29
66
62
71
66
61
56
