**PARALLEL DATA FIRST**

-----------------------------------------------------------
1,1,0	,183346
1,2,0	,255000
2,4,0	,219533
2,8,0	,393371
4,16,0	,718218
4,32,1	,475476
8,64,2	,930233
8,128,5	,822599
16,256,11	,259536
16,512,21	,940900


**PARALLEL FILTER FIRST**

-----------------------------------------------------------
1,1,0	,139446
1,2,0	,203859
2,4,0	,198904
2,8,0	,388746
4,16,0	,724969
4,32,1	,491238
8,64,2	,909051
8,128,5	,843933
16,256,11	,548808
16,512,23	,159653
